"code","error","x-global-transaction-id","usage__text_units","usage__text_characters","usage__features","language","keywords__text","keywords__sentiment__score","keywords__sentiment__label","keywords__relevance","keywords__emotion__sadness","keywords__emotion__joy","keywords__emotion__fear","keywords__emotion__disgust","keywords__emotion__anger"
"","","","1","39","1","en","applicator","0","neutral","0.945553","0.104974","0.427714","0.141782","0.021099","0.063066"
"","","","1","26","1","en","test","-0.585136","negative","0.913901","0.109409","0.439141","0.159775","0.074895","0.040508"
"","","","1","70","1","en","good taste","0","neutral","0.984052","0.246686","0.670694","0.023053","0.068521","0.0056"
"","","","1","112","1","en","look","-0.7987","negative","0.957538","0.488355","0.055227","0.124103","0.048348","0.467983"
"","","","1","92","1","en","layers","0","neutral","0.900324","0.165763","0.139106","0.090998","0.015597","0.041579"
"","","","1","16","1","en","","","","","","","","",""
"","","","1","57","1","en","lips.","-0.705059","negative","0.933576","0.303448","0.14547","0.162858","0.123315","0.053783"
"","","","1","18","1","en","","","","","","","","",""
"","","","1","32","1","en","color","-0.563832","negative","0.908964","0.065568","0.166067","0.069216","0.009671","0.040799"
"","","","1","20","1","en","color","0","neutral","0.938645","0.462482","0.104793","0.098262","0.01643","0.047897"
"","","","1","51","1","en","lips","-0.908955","negative","0.967192","0.243833","0.321418","0.195936","0.197536","0.082642"
"","","","1","97","1","en","bright kind","0.77901","positive","0.927988","0.06338","0.796729","0.029654","0.035058","0.034226"
"","","","1","24","1","en","smell","-0.688286","negative","0.91088","0.342216","0.103088","0.067705","0.609233","0.032519"
"","","","1","77","1","en","","","","","","","","",""
"","","","1","64","1","en","stinging sensation","-0.80908","negative","0.958293","0.251612","0.254199","0.245585","0.18237","0.102414"
"","","","1","34","1","en","point","-0.533776","negative","0.951173","0.39081","0.12906","0.058017","0.05022","0.305408"
"400","not enough text provided for language detection","683fc2df5a72cd470cab51d9","","","","","","","","","","","","",""
"400","not enough text provided for language detection","683fc2df5a72cd460cab50d9","","","","","","","","","","","","",""
"","","","1","15","1","en","","","","","","","","",""
"","","","1","22","1","en","bit","0","neutral","0.975932","0.150659","0.1578","0.095804","0.345137","0.097818"
"400","not enough text provided for language detection","683fc2df5a72cd480c31ae95","","","","","","","","","","","","",""
"400","not enough text provided for language detection","683fc2df5a72cd460cab50f9","","","","","","","","","","","","",""
"","","","1","35","1","en","","","","","","","","",""
"","","","1","26","1","en","stickiness","0","neutral","0.955764","0.157982","0.014879","0.042687","0.124199","0.643925"
"","","","1","20","1","en","","","","","","","","",""
"","","","1","41","1","en","applicator","-0.724239","negative","0.998195","0.563359","0.115929","0.385607","0.093247","0.027327"
"","","","1","37","1","en","","","","","","","","",""
"","","","1","70","1","en","lips","-0.394732","negative","0.994338","0.274544","0.220487","0.248948","0.211803","0.130321"
"","","","1","180","1","en","lip gloss","0","neutral","0.977209","0.204253","0.385683","0.109279","0.317132","0.055619"
"400","not enough text provided for language detection","683fc2df5a72cd480c31aff5","","","","","","","","","","","","",""
"","","","1","62","1","en","color","-0.6917","negative","0.956333","0.287829","0.10856","0.578807","0.043613","0.037497"
"","","","1","113","1","en","sparkles","0.922926","positive","0.910445","0.069718","0.817038","0.04947","0.013275","0.038898"
"","","","1","52","1","en","","","","","","","","",""
"","","","1","131","1","en","color shade","0","neutral","0.985863","0.044341","0.150078","0.064253","0.03572","0.068414"
"400","not enough text provided for language detection","683fc2df5a72cd480bce3dc1","","","","","","","","","","","","",""
"","","","1","49","1","en","","","","","","","","",""
"","","","1","60","1","en","","","","","","","","",""
"","","","1","27","1","en","thickness","0","neutral","0.901098","0.066859","0.162173","0.070563","0.009514","0.040035"
"","","","1","74","1","en","color","-0.37707","negative","0.934679","0.313394","0.061339","0.047889","0.008113","0.02479"
"","","","1","36","1","en","","","","","","","","",""
"400","not enough text provided for language detection","683fc2df5a72cd480cab51a9","","","","","","","","","","","","",""
"","","","1","44","1","en","scent","-0.81834","negative","0.932734","0.514253","0.078317","0.074223","0.058103","0.126859"
"","","","1","33","1","en","application brush","0","neutral","0.949275","0.141488","0.024269","0.012834","0.092248","0.33009"
"","","","1","81","1","en","problem","-0.664039","negative","0.902291","0.735547","0.021824","0.197111","0.010892","0.04401"
"","","","1","29","1","en","stickiness","-0.503654","negative","0.987783","0.236522","0.092271","0.040814","0.014763","0.010723"
"","","","1","12","1","en","","","","","","","","",""
"400","not enough text provided for language detection","683fc2df5a72cd480bce3d71","","","","","","","","","","","","",""
"","","","1","42","1","en","lips","-0.617099","negative","0.915524","0.539136","0.148455","0.152859","0.12663","0.078433"
"","","","1","137","1","en","product","0","neutral","0.930743","0.348054","0.171397","0.070232","0.158158","0.134223"
"","","","1","28","1","en","tackiness","0","neutral","0.916811","0.232246","0.097016","0.039908","0.014939","0.011059"
"","","","1","18","1","en","","","","","","","","",""
"400","not enough text provided for language detection","683fc2df5a72cd480c31b0b5","","","","","","","","","","","","",""
"","","","1","42","1","en","","","","","","","","",""
"400","not enough text provided for language detection","683fc2df5a72cd480bce41d1","","","","","","","","","","","","",""
"","","","1","27","1","en","","","","","","","","",""
"","","","1","56","1","en","","","","","","","","",""
"","","","1","15","1","en","","","","","","","","",""
"","","","1","43","1","en","","","","","","","","",""
"","","","1","64","1","en","great tasting product","0","neutral","0.920605","0.02922","0.810246","0.015171","0.00273","0.002034"
