"code","error","x-global-transaction-id","usage__text_units","usage__text_characters","usage__features","language","keywords__text","keywords__sentiment__score","keywords__sentiment__label","keywords__relevance","keywords__emotion__sadness","keywords__emotion__joy","keywords__emotion__fear","keywords__emotion__disgust","keywords__emotion__anger"
"","","","1","34","1","en","packaging","0.54644","positive","0.956271","0.050269","0.507843","0.051797","0.070416","0.07962"
"","","","1","16","1","en","color","0.598548","positive","0.91615","0.085035","0.288312","0.066166","0.015896","0.043489"
"","","","1","40","1","en","favorite color","0.649951","positive","0.935633","0.016554","0.492621","0.039009","0.010314","0.012421"
"","","","1","65","1","en","scent","0.924878","positive","0.931216","0.020144","0.798828","0.050799","0.031502","0.021759"
"","","","1","41","1","en","shimmer","0.82845","positive","0.941107","0.225797","0.446837","0.106839","0.205986","0.140642"
"","","","1","130","1","en","way","0.773261","positive","0.941006","0.060803","0.85589","0.019072","0.010891","0.020345"
"","","","1","50","1","en","soft lips","0.7981","positive","0.922697","0.149226","0.599783","0.092674","0.082365","0.047047"
"","","","1","17","1","en","color","0","neutral","0.919195","0.066859","0.162173","0.070563","0.009514","0.040035"
"","","","1","28","1","en","long lasting","0","neutral","0.999364","0.461072","0.088745","0.095096","0.050178","0.068553"
"","","","1","95","1","en","lip balm","0","neutral","0.943189","0.231527","0.418409","0.15107","0.240487","0.076108"
"","","","1","68","1","en","glimmer look","0.764533","positive","0.950573","0.167052","0.4522","0.120418","0.244941","0.050502"
"","","","1","126","1","en","applicator   shape w/a","0.560255","positive","0.91878","0.176749","0.356723","0.098756","0.037404","0.143696"
"","","","1","45","1","en","long time","0.701195","positive","0.99493","0.386991","0.277765","0.093754","0.029429","0.049864"
"","","","1","42","1","en","color result","0.931265","positive","0.950029","0.030892","0.894389","0.006148","0.00047","0.004061"
"","","","1","63","1","en","lip gloss","0","neutral","0.901628","0.192942","0.384953","0.114234","0.085375","0.027111"
"","","","1","60","1","en","shading","0.659945","positive","0.9585","0.270491","0.225395","0.042973","0.030368","0.015491"
"","","","1","57","1","en","lip gloss","0","neutral","0.944518","0.143123","0.433417","0.132631","0.046461","0.038288"
"","","","1","154","1","en","beautiful color","0.861358","positive","0.911369","0.032261","0.817588","0.023766","0.001039","0.003928"
"","","","1","122","1","en","way","0.130536","positive","0.926772","0.202678","0.557337","0.107582","0.085084","0.053931"
"","","","1","64","1","en","nice  texture","0.483906","positive","0.989573","0.01199","0.89483","0.011231","0.002159","0.008848"
"","","","1","80","1","en","texture","0","neutral","0.966871","0.216569","0.267158","0.081386","0.048742","0.035765"
"","","","1","195","1","en","good portion","0.503542","positive","0.961894","0.190946","0.662759","0.041182","0.003307","0.007345"
"","","","1","27","1","en","SOFT APPLICATOR","0.800875","positive","0.948467","0.025433","0.9031","0.009073","0.008751","0.019606"
"","","","1","53","1","en","applicator","0.869486","positive","0.950662","0.120553","0.613628","0.065353","0.07138","0.034056"
"","","","1","190","1","en","thicker lip glosses","0","neutral","0.97332","0.095605","0.766725","0.054088","0.036288","0.029305"
"","","","1","39","1","en","","","","","","","","",""
"","","","1","120","1","en","lip glosses","-0.495059","negative","0.903636","0.510847","0.148865","0.119595","0.129728","0.120869"
"","","","1","42","1","en","long time","0.7597","positive","0.99493","0.229855","0.398647","0.086276","0.040598","0.054731"
"","","","1","17","1","en","color","0.876449","positive","0.992383","0.013585","0.855557","0.007789","0.001311","0.005485"
"","","","1","58","1","en","texture","0.842806","positive","0.951975","0.121256","0.642695","0.037105","0.018369","0.018094"
"","","","1","138","1","en","shimmer effect","0.810484","positive","0.994573","0.070568","0.708955","0.083141","0.024606","0.030411"
"","","","1","48","1","en","lips","0.950929","positive","0.914122","0.202153","0.712233","0.024172","0.009465","0.018572"
"","","","1","55","1","en","mylips","-0.757768","negative","0.990817","0.394412","0.240914","0.173044","0.055103","0.071289"
"","","","1","96","1","en","light color","0.686061","positive","0.920142","0.095484","0.365215","0.114956","0.032156","0.027798"
"","","","1","70","1","en","","","","","","","","",""
"","","","1","80","1","en","scent","-0.30468","negative","0.995474","0.206266","0.134845","0.089531","0.027097","0.065797"
"","","","1","84","1","en","application","0","neutral","0.949365","0.045213","0.326665","0.009069","0.017901","0.024959"
"","","","1","95","1","en","gloss","0","neutral","0.92493","0.42805","0.476942","0.048818","0.011754","0.013579"
"","","","1","17","1","en","colors","0.643926","positive","0.91615","0.085035","0.288312","0.066166","0.015896","0.043489"
"","","","1","9","1","en","color","0.438365","positive","0.927397","0","0","0","0","0"
"","","","1","54","1","en","shape","0","neutral","0.959393","0.020101","0.266965","0.11355","0.035222","0.136857"
"","","","1","32","1","en","color","0.480424","positive","0.969444","0.139553","0.59196","0.141971","0.007124","0.107647"
"","","","1","22","1","en","consistency","0.817289","positive","0.978248","0.17375","0.286344","0.092497","0.096474","0.091108"
"","","","1","31","1","en","scent","0.907496","positive","0.952272","0.164519","0.326562","0.087429","0.088544","0.125171"
"","","","1","46","1","en","lip gloss","0","neutral","0.909563","0.107896","0.803026","0.065091","0.018504","0.014247"
"","","","1","63","1","en","gloss","0","neutral","0.929668","0.119539","0.637557","0.038746","0.040754","0.0525"
"","","","1","44","1","en","application wand","0.787268","positive","0.902107","0.031544","0.634376","0.002886","0.012523","0.012923"
"","","","1","30","1","en","color","0.675196","positive","0.906769","0.015691","0.422742","0.030854","0.007433","0.013414"
"","","","1","32","1","en","color","0.588247","positive","0.963486","0.140287","0.187448","0.04529","0.009105","0.01471"
"","","","1","9","1","en","color","0.438365","positive","0.927397","0","0","0","0","0"
