"code","error","x-global-transaction-id","usage__text_units","usage__text_characters","usage__features","language","keywords__text","keywords__sentiment__score","keywords__sentiment__label","keywords__relevance","keywords__emotion__sadness","keywords__emotion__joy","keywords__emotion__fear","keywords__emotion__disgust","keywords__emotion__anger"
"400","not enough text provided for language detection","683fc2df5a72cdbe0b11acfd","","","","","","","","","","","","",""
"","","","1","93","1","en","SMOOTHING","0.696679","positive","0.975595","0.299421","0.229178","0.194137","0.214205","0.287174"
"","","","1","149","1","en","Spherical glass beads","0.722288","positive","0.960914","0.050004","0.812245","0.023891","0.032328","0.029325"
"","","","1","43","1","en","organic ingredients","0.849048","positive","0.90912","0.062927","0.544392","0.058622","0.046871","0.013901"
"","","","1","30","1","en","","","","","","","","",""
"","","","1","23","1","en","","","","","","","","",""
"","","","1","102","1","en","jelly fomula","0.64433","positive","0.939131","0.173864","0.295124","0.089978","0.104024","0.091001"
"","","","1","65","1","en","organic aloe ingredients","0.614365","positive","0.942644","0.074537","0.555392","0.081713","0.119926","0.059002"
"400","not enough text provided for language detection","683fc2df5a72cdbe0b11a8ed","","","","","","","","","","","","",""
"","","","1","52","1","en","points","0.620562","positive","0.910674","0.323414","0.164267","0.076062","0.138249","0.429858"
"","","","1","38","1","en","good visual description","0.887581","positive","0.965799","0.073904","0.646312","0.038974","0.052958","0.047497"
"","","","1","42","1","en","description","-0.754941","negative","0.978932","0.105884","0.190152","0.061381","0.17068","0.054146"
"","","","1","30","1","en","packaging","0.494136","positive","0.945293","0.05945","0.449577","0.143708","0.012205","0.132089"
"","","","1","35","1","en","","","","","","","","",""
"400","not enough text provided for language detection","683fc2df5a72cdbe0b11ad9d","","","","","","","","","","","","",""
"","","","1","27","1","en","","","","","","","","",""
"","","","1","130","1","en","organic aloe ingredient","0.797777","positive","0.980612","0.084726","0.560157","0.065099","0.057094","0.020868"
"","","","1","129","1","en","long lasting","0.77661","positive","0.906805","0.278986","0.242384","0.044726","0.070718","0.026297"
"","","","1","72","1","en","product","0.589654","positive","0.931106","0.143177","0.142388","0.06328","0.025823","0.166402"
"","","","1","47","1","en","Melts","0.827759","positive","0.983608","0.577829","0.047672","0.196518","0.301296","0.130162"
"","","","1","105","1","en","lip gloss","0.593266","positive","0.951968","0.278896","0.395216","0.017639","0.154349","0.069028"
"","","","1","51","1","en","product","0.748146","positive","0.984405","0.166196","0.591445","0.034196","0.019945","0.027063"
"","","","1","65","1","en","moisturizing effects","0.526802","positive","0.95721","0.204539","0.199367","0.047357","0.027506","0.031321"
"","","","1","50","1","en","description","0.894315","positive","0.971308","0.027583","0.796247","0.040265","0.033072","0.016448"
"","","","1","81","1","en","lips","0.457294","positive","0.987893","0.729746","0.200336","0.071121","0.022361","0.03199"
"","","","1","116","1","en","innovative jelly gloss","0.981007","positive","0.949721","0.193416","0.583736","0.088901","0.045591","0.062065"
"","","","1","69","1","en","lip gloss","0.750761","positive","0.961852","0.175488","0.531608","0.095493","0.098013","0.118617"
"","","","1","49","1","en","good description","0.869176","positive","0.910702","0.071075","0.786384","0.016656","0.026465","0.018886"
"","","","1","13","1","en","","","","","","","","",""
"","","","1","47","1","en","person","0.645795","positive","0.946292","0.093132","0.171268","0.053299","0.218886","0.088132"
"","","","1","45","1","en","brand","0.818857","positive","0.939518","0.0566","0.57994","0.063426","0.031952","0.073612"
"","","","1","51","1","en","product","0.583063","positive","0.976031","0.109074","0.504679","0.03939","0.015922","0.038249"
"","","","1","124","1","en","little descriptions","0","neutral","0.978294","0.22907","0.209724","0.322771","0.278899","0.068253"
"","","","1","68","1","en","product","0","neutral","0.965468","0.091168","0.139287","0.029091","0.025737","0.0169"
"","","","1","53","1","en","lips","0.498226","positive","0.964207","0.41402","0.129287","0.251621","0.270886","0.081729"
"","","","1","113","1","en","jelly texture","0.912018","positive","0.909746","0.264583","0.312928","0.090548","0.083711","0.065188"
"","","","1","26","1","en","lip gloss","-0.764568","negative","0.948352","0.396447","0.183088","0.215925","0.181097","0.113439"
"","","","1","60","1","en","set","0.588524","positive","0.979286","0.209871","0.171117","0.034384","0.0187","0.040802"
"","","","1","46","1","en","lips","0.898174","positive","0.967823","0.329107","0.520149","0.127663","0.036568","0.01903"
"","","","1","60","1","en","product","-0.541354","negative","0.971139","0.529602","0.063498","0.052845","0.026082","0.046534"
"","","","1","16","1","en","color","0.598548","positive","0.91615","0.085035","0.288312","0.066166","0.015896","0.043489"
